INSERT ALL 
 INTO PSE1.DownloadsVALUES ('1', '25-06-2018', '617', '155') 
 INTO PSE1.DownloadsVALUES ('734', '17-03-2018', '187', '529') 
 INTO PSE1.DownloadsVALUES ('735', '18-11-2019', '778', '171') 
 INTO PSE1.DownloadsVALUES ('736', '09-01-2018', '475', '528') 
 INTO PSE1.DownloadsVALUES ('737', '31-12-2019', '690', '222') 
 INTO PSE1.DownloadsVALUES ('738', '20-10-2019', '568', '173') 
 INTO PSE1.DownloadsVALUES ('739', '23-06-2019', '624', '628') 
 INTO PSE1.DownloadsVALUES ('740', '14-04-2018', '767', '319') 
 INTO PSE1.DownloadsVALUES ('741', '28-05-2018', '504', '195') 
 INTO PSE1.DownloadsVALUES ('742', '02-11-2018', '272', '10') 
 INTO PSE1.DownloadsVALUES ('743', '03-04-2019', '530', '11') 
 INTO PSE1.DownloadsVALUES ('744', '07-08-2019', '899', '19') 
 INTO PSE1.DownloadsVALUES ('745', '05-03-2018', '508', '303') 
 INTO PSE1.DownloadsVALUES ('746', '17-02-2018', '213', '126') 
 INTO PSE1.DownloadsVALUES ('747', '07-11-2019', '369', '581') 
 INTO PSE1.DownloadsVALUES ('748', '04-12-2019', '48', '381') 
 INTO PSE1.DownloadsVALUES ('749', '25-05-2018', '104', '307') 
 INTO PSE1.DownloadsVALUES ('750', '10-01-2018', '578', '564') 
 INTO PSE1.DownloadsVALUES ('751', '19-03-2018', '794', '511') 
 INTO PSE1.DownloadsVALUES ('752', '11-07-2019', '318', '290') 
 INTO PSE1.DownloadsVALUES ('753', '13-03-2019', '780', '604') 
 INTO PSE1.DownloadsVALUES ('754', '08-07-2018', '937', '436') 
 INTO PSE1.DownloadsVALUES ('755', '11-04-2018', '699', '166') 
 INTO PSE1.DownloadsVALUES ('756', '19-11-2019', '520', '284') 
 INTO PSE1.DownloadsVALUES ('757', '09-02-2019', '152', '362') 
 INTO PSE1.DownloadsVALUES ('758', '25-10-2018', '182', '614') 
 INTO PSE1.DownloadsVALUES ('759', '25-02-2018', '225', '431') 
 INTO PSE1.DownloadsVALUES ('760', '11-11-2018', '514', '144') 
 INTO PSE1.DownloadsVALUES ('761', '23-05-2018', '120', '364') 
 INTO PSE1.DownloadsVALUES ('762', '20-03-2019', '933', '482') 
 INTO PSE1.DownloadsVALUES ('763', '17-05-2019', '55', '77') 
 INTO PSE1.DownloadsVALUES ('764', '20-08-2019', '412', '391') 
 INTO PSE1.DownloadsVALUES ('765', '29-12-2018', '711', '136') 
 INTO PSE1.DownloadsVALUES ('766', '20-05-2019', '635', '157') 
 INTO PSE1.DownloadsVALUES ('767', '01-12-2018', '936', '110') 
 INTO PSE1.DownloadsVALUES ('768', '01-12-2019', '617', '466') 
 INTO PSE1.DownloadsVALUES ('769', '27-05-2018', '645', '175') 
 INTO PSE1.DownloadsVALUES ('770', '16-03-2018', '113', '560') 
 INTO PSE1.DownloadsVALUES ('771', '11-05-2019', '722', '79') 
 INTO PSE1.DownloadsVALUES ('772', '29-08-2018', '664', '313') 
 INTO PSE1.DownloadsVALUES ('773', '18-05-2018', '135', '487') 
 INTO PSE1.DownloadsVALUES ('774', '22-10-2019', '431', '192') 
 INTO PSE1.DownloadsVALUES ('775', '27-05-2018', '607', '415') 
 INTO PSE1.DownloadsVALUES ('776', '16-10-2019', '735', '544') 
 INTO PSE1.DownloadsVALUES ('777', '25-11-2018', '832', '579') 
 INTO PSE1.DownloadsVALUES ('778', '12-02-2018', '432', '147') 
 INTO PSE1.DownloadsVALUES ('779', '03-06-2018', '578', '364') 
 INTO PSE1.DownloadsVALUES ('780', '27-03-2018', '787', '428') 
 INTO PSE1.DownloadsVALUES ('781', '19-08-2018', '265', '197') 
 INTO PSE1.DownloadsVALUES ('782', '19-12-2019', '423', '158') 
 INTO PSE1.DownloadsVALUES ('783', '17-12-2018', '553', '498') 
 INTO PSE1.DownloadsVALUES ('784', '26-02-2018', '112', '616') 
 INTO PSE1.DownloadsVALUES ('785', '07-10-2019', '284', '118') 
 INTO PSE1.DownloadsVALUES ('786', '07-05-2019', '357', '223') 
 INTO PSE1.DownloadsVALUES ('787', '23-12-2018', '731', '3') 
 INTO PSE1.DownloadsVALUES ('788', '09-02-2019', '650', '182') 
 INTO PSE1.DownloadsVALUES ('789', '08-08-2019', '6', '328') 
 INTO PSE1.DownloadsVALUES ('790', '17-12-2018', '132', '387') 
 INTO PSE1.DownloadsVALUES ('791', '22-12-2019', '527', '85') 
 INTO PSE1.DownloadsVALUES ('792', '26-03-2019', '471', '485') 
 INTO PSE1.DownloadsVALUES ('793', '01-05-2018', '767', '135') 
 INTO PSE1.DownloadsVALUES ('794', '04-10-2018', '327', '634') 
 INTO PSE1.DownloadsVALUES ('795', '02-03-2018', '422', '273') 
 INTO PSE1.DownloadsVALUES ('796', '01-05-2019', '44', '392') 
 INTO PSE1.DownloadsVALUES ('797', '29-10-2018', '564', '289') 
 INTO PSE1.DownloadsVALUES ('798', '29-08-2019', '572', '54') 
 INTO PSE1.DownloadsVALUES ('799', '13-10-2019', '953', '92') 
 INTO PSE1.DownloadsVALUES ('800', '10-02-2018', '250', '177') 
 INTO PSE1.DownloadsVALUES ('801', '10-05-2018', '449', '404') 
 INTO PSE1.DownloadsVALUES ('802', '14-10-2018', '101', '186') 
 INTO PSE1.DownloadsVALUES ('803', '09-11-2018', '280', '611') 
 INTO PSE1.DownloadsVALUES ('804', '30-03-2019', '687', '8') 
 INTO PSE1.DownloadsVALUES ('805', '19-02-2018', '729', '610') 
 INTO PSE1.DownloadsVALUES ('806', '07-05-2019', '677', '590') 
 INTO PSE1.DownloadsVALUES ('807', '02-12-2018', '350', '372') 
 INTO PSE1.DownloadsVALUES ('808', '14-04-2019', '636', '492') 
 INTO PSE1.DownloadsVALUES ('809', '18-09-2018', '662', '582') 
 INTO PSE1.DownloadsVALUES ('810', '22-01-2018', '603', '62') 
 INTO PSE1.DownloadsVALUES ('811', '28-03-2018', '733', '86') 
 INTO PSE1.DownloadsVALUES ('812', '02-03-2018', '320', '473') 
 INTO PSE1.DownloadsVALUES ('813', '15-10-2018', '556', '253') 
 INTO PSE1.DownloadsVALUES ('814', '18-01-2018', '377', '535') 
 INTO PSE1.DownloadsVALUES ('815', '11-10-2018', '481', '41') 
 INTO PSE1.DownloadsVALUES ('816', '19-07-2018', '404', '452') 
 INTO PSE1.DownloadsVALUES ('817', '28-12-2019', '782', '565') 
 INTO PSE1.DownloadsVALUES ('818', '15-10-2018', '764', '237') 
 INTO PSE1.DownloadsVALUES ('819', '08-07-2018', '322', '261') 
 INTO PSE1.DownloadsVALUES ('820', '11-11-2019', '472', '327') 
 INTO PSE1.DownloadsVALUES ('821', '27-12-2018', '22', '618') 
 INTO PSE1.DownloadsVALUES ('822', '21-05-2018', '483', '504') 
 INTO PSE1.DownloadsVALUES ('823', '07-02-2019', '108', '431') 
 INTO PSE1.DownloadsVALUES ('824', '30-03-2018', '693', '115') 
 INTO PSE1.DownloadsVALUES ('825', '07-11-2019', '787', '537') 
 INTO PSE1.DownloadsVALUES ('826', '11-01-2018', '697', '394') 
 INTO PSE1.DownloadsVALUES ('827', '27-09-2019', '233', '296') 
 INTO PSE1.DownloadsVALUES ('828', '06-01-2018', '10', '74') 
 INTO PSE1.DownloadsVALUES ('829', '19-06-2019', '273', '164') 
 INTO PSE1.DownloadsVALUES ('830', '07-12-2018', '823', '11') 
 INTO PSE1.DownloadsVALUES ('831', '05-01-2019', '576', '565') 
 INTO PSE1.DownloadsVALUES ('832', '30-07-2018', '720', '196') 
 INTO PSE1.DownloadsVALUES ('833', '11-10-2018', '821', '341') 
 INTO PSE1.DownloadsVALUES ('834', '26-12-2018', '606', '161') 
 INTO PSE1.DownloadsVALUES ('835', '28-09-2019', '287', '178') 
 INTO PSE1.DownloadsVALUES ('836', '11-08-2018', '898', '422') 
 INTO PSE1.DownloadsVALUES ('837', '27-07-2018', '901', '268') 
 INTO PSE1.DownloadsVALUES ('838', '02-03-2019', '164', '36') 
 INTO PSE1.DownloadsVALUES ('839', '16-02-2019', '14', '122') 
 INTO PSE1.DownloadsVALUES ('840', '19-06-2018', '71', '616') 
 INTO PSE1.DownloadsVALUES ('841', '08-11-2019', '477', '406') 
 INTO PSE1.DownloadsVALUES ('842', '26-01-2018', '235', '249') 
 INTO PSE1.DownloadsVALUES ('843', '11-12-2018', '486', '459') 
 INTO PSE1.DownloadsVALUES ('844', '25-08-2019', '720', '167') 
 INTO PSE1.DownloadsVALUES ('845', '11-10-2018', '951', '270') 
 INTO PSE1.DownloadsVALUES ('846', '07-07-2019', '338', '52') 
 INTO PSE1.DownloadsVALUES ('847', '22-03-2019', '157', '8') 
 INTO PSE1.DownloadsVALUES ('848', '14-10-2018', '849', '500') 
 INTO PSE1.DownloadsVALUES ('849', '10-05-2019', '852', '465') 
 INTO PSE1.DownloadsVALUES ('850', '12-08-2019', '221', '259') 
 INTO PSE1.DownloadsVALUES ('851', '13-03-2018', '297', '13') 
 INTO PSE1.DownloadsVALUES ('852', '12-03-2019', '4', '600') 
 INTO PSE1.DownloadsVALUES ('853', '25-03-2019', '79', '501') 
 INTO PSE1.DownloadsVALUES ('854', '24-09-2018', '347', '152') 
 INTO PSE1.DownloadsVALUES ('855', '04-03-2018', '654', '20') 
 INTO PSE1.DownloadsVALUES ('856', '05-10-2018', '534', '57') 
 INTO PSE1.DownloadsVALUES ('857', '29-06-2018', '719', '579') 
 INTO PSE1.DownloadsVALUES ('858', '03-03-2019', '682', '429') 
 INTO PSE1.DownloadsVALUES ('859', '28-03-2018', '22', '69') 
 INTO PSE1.DownloadsVALUES ('860', '27-09-2018', '305', '168') 
 INTO PSE1.DownloadsVALUES ('861', '14-12-2019', '736', '547') 
 INTO PSE1.DownloadsVALUES ('862', '11-02-2019', '888', '11') 
 INTO PSE1.DownloadsVALUES ('863', '22-09-2019', '929', '378') 
 INTO PSE1.DownloadsVALUES ('864', '17-12-2019', '759', '504') 
 INTO PSE1.DownloadsVALUES ('865', '25-07-2019', '898', '122') 
 INTO PSE1.DownloadsVALUES ('866', '24-10-2019', '628', '143') 
 INTO PSE1.DownloadsVALUES ('867', '22-03-2018', '430', '561') 
 INTO PSE1.DownloadsVALUES ('868', '09-03-2019', '778', '23') 
 INTO PSE1.DownloadsVALUES ('869', '16-06-2018', '452', '309') 
 INTO PSE1.DownloadsVALUES ('870', '07-03-2018', '549', '376') 
 INTO PSE1.DownloadsVALUES ('871', '11-09-2019', '9', '59') 
 INTO PSE1.DownloadsVALUES ('872', '01-06-2018', '522', '159') 
 INTO PSE1.DownloadsVALUES ('873', '14-06-2018', '480', '57') 
 INTO PSE1.DownloadsVALUES ('874', '10-04-2018', '688', '142') 
 INTO PSE1.DownloadsVALUES ('875', '12-12-2019', '52', '599') 
 INTO PSE1.DownloadsVALUES ('876', '15-03-2019', '827', '575') 
 INTO PSE1.DownloadsVALUES ('877', '31-07-2019', '169', '260') 
 INTO PSE1.DownloadsVALUES ('878', '22-09-2018', '471', '227') 
 INTO PSE1.DownloadsVALUES ('879', '18-06-2019', '861', '188') 
 INTO PSE1.DownloadsVALUES ('880', '10-12-2019', '167', '42') 
 INTO PSE1.DownloadsVALUES ('881', '12-10-2018', '503', '396') 
 INTO PSE1.DownloadsVALUES ('882', '14-06-2019', '171', '404') 
 INTO PSE1.DownloadsVALUES ('883', '20-05-2018', '432', '461') 
 INTO PSE1.DownloadsVALUES ('884', '09-09-2018', '303', '471') 
 INTO PSE1.DownloadsVALUES ('885', '18-10-2019', '58', '60') 
 INTO PSE1.DownloadsVALUES ('886', '23-05-2019', '113', '11') 
 INTO PSE1.DownloadsVALUES ('887', '30-08-2019', '91', '350') 
 INTO PSE1.DownloadsVALUES ('888', '26-02-2018', '344', '104') 
 INTO PSE1.DownloadsVALUES ('889', '17-03-2019', '784', '64') 
 INTO PSE1.DownloadsVALUES ('890', '11-03-2018', '400', '162') 
 INTO PSE1.DownloadsVALUES ('891', '10-01-2019', '425', '541') 
 INTO PSE1.DownloadsVALUES ('892', '13-07-2019', '755', '262') 
 INTO PSE1.DownloadsVALUES ('893', '09-05-2019', '542', '304') 
 INTO PSE1.DownloadsVALUES ('894', '10-12-2019', '847', '124') 
 INTO PSE1.DownloadsVALUES ('895', '22-09-2019', '494', '10') 
 INTO PSE1.DownloadsVALUES ('896', '17-10-2018', '932', '477') 
 INTO PSE1.DownloadsVALUES ('897', '13-09-2019', '395', '49') 
 INTO PSE1.DownloadsVALUES ('898', '16-07-2019', '469', '390') 
 INTO PSE1.DownloadsVALUES ('899', '19-10-2018', '943', '186') 
 INTO PSE1.DownloadsVALUES ('900', '19-12-2019', '644', '327') 
 INTO PSE1.DownloadsVALUES ('901', '19-03-2019', '750', '38') 
 INTO PSE1.DownloadsVALUES ('902', '15-09-2019', '8', '381') 
 INTO PSE1.DownloadsVALUES ('903', '15-04-2018', '199', '368') 
 INTO PSE1.DownloadsVALUES ('904', '12-01-2019', '385', '245') 
 INTO PSE1.DownloadsVALUES ('905', '14-06-2018', '370', '545') 
 INTO PSE1.DownloadsVALUES ('906', '15-12-2019', '951', '623') 
 INTO PSE1.DownloadsVALUES ('907', '14-02-2018', '155', '527') 
 INTO PSE1.DownloadsVALUES ('908', '06-10-2019', '320', '27') 
 INTO PSE1.DownloadsVALUES ('909', '05-09-2019', '752', '394') 
 INTO PSE1.DownloadsVALUES ('910', '01-02-2018', '665', '79') 
 INTO PSE1.DownloadsVALUES ('911', '28-03-2018', '898', '577') 
 INTO PSE1.DownloadsVALUES ('912', '18-05-2018', '877', '411') 
 INTO PSE1.DownloadsVALUES ('913', '08-01-2019', '304', '223') 
 INTO PSE1.DownloadsVALUES ('914', '06-03-2018', '531', '522') 
 INTO PSE1.DownloadsVALUES ('915', '20-02-2019', '277', '120') 
 INTO PSE1.DownloadsVALUES ('916', '24-03-2018', '815', '388') 
 INTO PSE1.DownloadsVALUES ('917', '23-09-2018', '528', '388') 
 INTO PSE1.DownloadsVALUES ('918', '17-04-2019', '719', '174') 
 INTO PSE1.DownloadsVALUES ('919', '27-02-2018', '799', '186') 
 INTO PSE1.DownloadsVALUES ('920', '16-04-2019', '367', '163') 
 INTO PSE1.DownloadsVALUES ('921', '18-02-2018', '841', '383') 
 INTO PSE1.DownloadsVALUES ('922', '27-12-2018', '89', '329') 
 INTO PSE1.DownloadsVALUES ('923', '16-02-2019', '471', '38') 
 INTO PSE1.DownloadsVALUES ('924', '30-11-2018', '758', '112') 
 INTO PSE1.DownloadsVALUES ('925', '09-03-2018', '530', '568') 
 INTO PSE1.DownloadsVALUES ('926', '28-12-2018', '923', '201') 
 INTO PSE1.DownloadsVALUES ('927', '15-03-2019', '521', '153') 
 INTO PSE1.DownloadsVALUES ('928', '21-08-2018', '518', '613') 
 INTO PSE1.DownloadsVALUES ('929', '18-08-2019', '622', '390') 
 INTO PSE1.DownloadsVALUES ('930', '08-03-2019', '719', '221') 
 INTO PSE1.DownloadsVALUES ('931', '10-01-2019', '310', '328') 
 INTO PSE1.DownloadsVALUES ('932', '20-07-2018', '806', '292') 
 INTO PSE1.DownloadsVALUES ('933', '29-03-2019', '631', '88') 
 INTO PSE1.DownloadsVALUES ('934', '14-05-2019', '628', '476') 
 INTO PSE1.DownloadsVALUES ('935', '21-10-2019', '686', '11') 
 INTO PSE1.DownloadsVALUES ('936', '20-08-2019', '269', '97') 
 INTO PSE1.DownloadsVALUES ('937', '16-11-2018', '242', '554') 
 INTO PSE1.DownloadsVALUES ('938', '11-07-2018', '167', '87') 
 INTO PSE1.DownloadsVALUES ('939', '25-10-2019', '108', '172') 
 INTO PSE1.DownloadsVALUES ('940', '18-11-2019', '4', '312') 
 INTO PSE1.DownloadsVALUES ('941', '22-03-2019', '383', '581') 
 INTO PSE1.DownloadsVALUES ('942', '25-10-2018', '3', '80') 
 INTO PSE1.DownloadsVALUES ('943', '04-08-2019', '242', '616') 
 INTO PSE1.DownloadsVALUES ('944', '14-04-2019', '666', '111') 
 INTO PSE1.DownloadsVALUES ('945', '14-08-2019', '523', '89') 
 INTO PSE1.DownloadsVALUES ('946', '20-04-2018', '208', '16') 
 INTO PSE1.DownloadsVALUES ('947', '01-03-2018', '855', '496') 
 INTO PSE1.DownloadsVALUES ('948', '22-09-2019', '749', '241') 
 INTO PSE1.DownloadsVALUES ('949', '13-12-2019', '753', '7') 
 INTO PSE1.DownloadsVALUES ('950', '30-11-2018', '12', '557') 
 INTO PSE1.DownloadsVALUES ('951', '01-03-2019', '308', '263') 
 INTO PSE1.DownloadsVALUES ('952', '08-08-2019', '350', '343') 
 INTO PSE1.DownloadsVALUES ('953', '17-03-2018', '346', '294') 
 INTO PSE1.DownloadsVALUES ('954', '04-07-2019', '115', '120') 
 INTO PSE1.DownloadsVALUES ('955', '08-07-2019', '148', '261') 
 INTO PSE1.DownloadsVALUES ('956', '07-07-2018', '17', '385') 
 INTO PSE1.DownloadsVALUES ('957', '06-12-2018', '532', '285') 
 INTO PSE1.DownloadsVALUES ('958', '01-06-2018', '707', '313') 
 INTO PSE1.DownloadsVALUES ('959', '04-02-2018', '941', '119') 
 INTO PSE1.DownloadsVALUES ('960', '12-09-2018', '644', '176') 
 INTO PSE1.DownloadsVALUES ('961', '28-11-2019', '243', '385') 
 INTO PSE1.DownloadsVALUES ('962', '18-12-2019', '403', '81') 
 INTO PSE1.DownloadsVALUES ('963', '30-04-2019', '677', '88') 
 INTO PSE1.DownloadsVALUES ('964', '14-01-2019', '798', '224') 
 INTO PSE1.DownloadsVALUES ('965', '16-06-2019', '567', '78') 
 INTO PSE1.DownloadsVALUES ('966', '16-07-2019', '431', '89') 
 INTO PSE1.DownloadsVALUES ('967', '17-02-2018', '426', '404') 
 INTO PSE1.DownloadsVALUES ('968', '22-05-2019', '492', '78') 
 INTO PSE1.DownloadsVALUES ('969', '24-09-2019', '727', '200') 
 INTO PSE1.DownloadsVALUES ('970', '01-05-2018', '851', '288') 
 INTO PSE1.DownloadsVALUES ('971', '23-03-2018', '209', '367') 
 INTO PSE1.DownloadsVALUES ('972', '05-03-2018', '398', '530') 
 INTO PSE1.DownloadsVALUES ('973', '14-08-2019', '475', '88') 
 INTO PSE1.DownloadsVALUES ('974', '20-12-2019', '632', '600') 
 INTO PSE1.DownloadsVALUES ('975', '01-05-2018', '142', '564') 
 INTO PSE1.DownloadsVALUES ('976', '08-07-2018', '307', '372') 
 INTO PSE1.DownloadsVALUES ('977', '04-04-2019', '573', '169') 
 INTO PSE1.DownloadsVALUES ('978', '14-10-2019', '107', '528') 
 INTO PSE1.DownloadsVALUES ('979', '11-12-2018', '491', '565') 
 INTO PSE1.DownloadsVALUES ('980', '31-03-2019', '315', '256') 
 INTO PSE1.DownloadsVALUES ('981', '19-07-2018', '940', '526') 
 INTO PSE1.DownloadsVALUES ('982', '15-01-2019', '930', '1') 
 INTO PSE1.DownloadsVALUES ('983', '22-01-2018', '596', '80') 
 INTO PSE1.DownloadsVALUES ('984', '09-02-2019', '890', '326') 
 INTO PSE1.DownloadsVALUES ('985', '08-01-2019', '369', '212') 
 INTO PSE1.DownloadsVALUES ('986', '23-12-2018', '602', '73') 
 INTO PSE1.DownloadsVALUES ('987', '03-05-2018', '227', '585') 
 INTO PSE1.DownloadsVALUES ('988', '15-08-2019', '576', '44') 
 INTO PSE1.DownloadsVALUES ('989', '16-06-2019', '450', '464') 
 INTO PSE1.DownloadsVALUES ('990', '07-03-2018', '896', '230') 
 INTO PSE1.DownloadsVALUES ('991', '02-06-2018', '578', '366') 
 INTO PSE1.DownloadsVALUES ('992', '09-12-2018', '412', '494') 
 INTO PSE1.DownloadsVALUES ('993', '09-11-2019', '847', '100') 
 INTO PSE1.DownloadsVALUES ('994', '17-06-2019', '877', '32') 
 INTO PSE1.DownloadsVALUES ('995', '03-02-2019', '161', '394') 
 INTO PSE1.DownloadsVALUES ('996', '20-04-2019', '456', '308') 
 INTO PSE1.DownloadsVALUES ('997', '30-01-2019', '81', '307') 
 INTO PSE1.DownloadsVALUES ('998', '21-04-2018', '347', '370') 
 INTO PSE1.DownloadsVALUES ('999', '11-05-2019', '624', '268') 
 INTO PSE1.DownloadsVALUES ('1000', '10-08-2019', '884', '630') 
 INTO PSE1.DownloadsVALUES ('1001', '18-03-2019', '287', '341') 
 INTO PSE1.DownloadsVALUES ('1002', '19-09-2018', '617', '303') 
 INTO PSE1.DownloadsVALUES ('1003', '10-06-2019', '468', '276') 
 INTO PSE1.DownloadsVALUES ('1004', '07-02-2019', '612', '135') 
 INTO PSE1.DownloadsVALUES ('1005', '17-09-2018', '878', '73') 
 INTO PSE1.DownloadsVALUES ('1006', '13-05-2018', '396', '477') 
 INTO PSE1.DownloadsVALUES ('1007', '18-06-2018', '287', '281') 
 INTO PSE1.DownloadsVALUES ('1008', '04-11-2019', '623', '482') 
 INTO PSE1.DownloadsVALUES ('1009', '25-02-2018', '151', '622') 
 INTO PSE1.DownloadsVALUES ('1010', '27-07-2019', '920', '412') 
 INTO PSE1.DownloadsVALUES ('1011', '29-06-2019', '6', '533') 
 INTO PSE1.DownloadsVALUES ('1012', '11-08-2018', '80', '237') 
 INTO PSE1.DownloadsVALUES ('1013', '29-05-2018', '10', '93') 
 INTO PSE1.DownloadsVALUES ('1014', '01-06-2019', '899', '483') 
 INTO PSE1.DownloadsVALUES ('1015', '09-06-2018', '547', '200') 
 INTO PSE1.DownloadsVALUES ('1016', '30-04-2018', '40', '294') 
 INTO PSE1.DownloadsVALUES ('1017', '16-04-2019', '252', '164') 
 INTO PSE1.DownloadsVALUES ('1018', '08-01-2019', '926', '613') 
 INTO PSE1.DownloadsVALUES ('1019', '15-06-2018', '97', '341') 
 INTO PSE1.DownloadsVALUES ('1020', '13-06-2018', '353', '42') 
 INTO PSE1.DownloadsVALUES ('1021', '18-06-2019', '919', '467') 
 INTO PSE1.DownloadsVALUES ('1022', '28-02-2019', '823', '408') 
 INTO PSE1.DownloadsVALUES ('1023', '01-12-2018', '402', '84') 
 INTO PSE1.DownloadsVALUES ('1024', '21-03-2018', '533', '237') 
 INTO PSE1.DownloadsVALUES ('1025', '16-10-2018', '77', '117') 
 INTO PSE1.DownloadsVALUES ('1026', '13-07-2019', '374', '519') 
 INTO PSE1.DownloadsVALUES ('1027', '08-11-2019', '383', '31') 
 INTO PSE1.DownloadsVALUES ('1028', '30-04-2018', '479', '49') 
 INTO PSE1.DownloadsVALUES ('1029', '17-05-2019', '162', '634') 
 INTO PSE1.DownloadsVALUES ('1030', '12-12-2019', '593', '478') 
 INTO PSE1.DownloadsVALUES ('1031', '23-09-2018', '840', '444') 
 INTO PSE1.DownloadsVALUES ('1032', '29-08-2019', '577', '374') 
 INTO PSE1.DownloadsVALUES ('1033', '18-12-2019', '793', '385') 
 INTO PSE1.DownloadsVALUES ('1034', '20-09-2019', '248', '50') 
 INTO PSE1.DownloadsVALUES ('1035', '08-11-2018', '544', '293') 
 INTO PSE1.DownloadsVALUES ('1036', '09-12-2019', '329', '16') 
 INTO PSE1.DownloadsVALUES ('1037', '19-01-2018', '719', '361') 
 INTO PSE1.DownloadsVALUES ('1038', '08-12-2018', '80', '201') 
 INTO PSE1.DownloadsVALUES ('1039', '08-09-2019', '763', '601') 
 INTO PSE1.DownloadsVALUES ('1040', '21-02-2019', '689', '202') 
 INTO PSE1.DownloadsVALUES ('1041', '15-02-2019', '672', '298') 
 INTO PSE1.DownloadsVALUES ('1042', '31-12-2020', '679', '73') 
 INTO PSE1.DownloadsVALUES ('1043', '14-02-2019', '843', '270') 
 INTO PSE1.DownloadsVALUES ('1044', '28-05-2018', '365', '128') 
 INTO PSE1.DownloadsVALUES ('1045', '09-03-2018', '424', '421') 
 INTO PSE1.DownloadsVALUES ('1046', '07-11-2019', '675', '489') 
 INTO PSE1.DownloadsVALUES ('1047', '11-01-2018', '710', '45') 
 INTO PSE1.DownloadsVALUES ('1048', '13-01-2019', '791', '327') 
 INTO PSE1.DownloadsVALUES ('1049', '12-09-2018', '285', '8') 
 INTO PSE1.DownloadsVALUES ('1050', '18-12-2018', '467', '571') 
 INTO PSE1.DownloadsVALUES ('1051', '01-03-2019', '437', '192') 
 INTO PSE1.DownloadsVALUES ('1052', '08-06-2019', '331', '269') 
 INTO PSE1.DownloadsVALUES ('1053', '23-10-2018', '638', '607') 
 INTO PSE1.DownloadsVALUES ('1054', '21-06-2018', '680', '610') 
 INTO PSE1.DownloadsVALUES ('1055', '06-01-2019', '651', '93') 
 INTO PSE1.DownloadsVALUES ('1056', '21-08-2018', '172', '136') 
 INTO PSE1.DownloadsVALUES ('1057', '24-08-2018', '267', '598') 
 INTO PSE1.DownloadsVALUES ('1058', '09-05-2018', '20', '538') 
 INTO PSE1.DownloadsVALUES ('1059', '30-05-2019', '459', '465') 
 INTO PSE1.DownloadsVALUES ('1060', '13-04-2018', '41', '249') 
 INTO PSE1.DownloadsVALUES ('1061', '06-03-2019', '483', '45') 
 INTO PSE1.DownloadsVALUES ('1062', '25-09-2018', '921', '159') 
 INTO PSE1.DownloadsVALUES ('1063', '11-05-2019', '570', '448') 
 INTO PSE1.DownloadsVALUES ('1064', '12-10-2018', '922', '604') 
 INTO PSE1.DownloadsVALUES ('1065', '01-09-2018', '349', '262') 
 INTO PSE1.DownloadsVALUES ('1066', '19-03-2019', '58', '89') 
 INTO PSE1.DownloadsVALUES ('1067', '12-02-2018', '242', '284') 
 INTO PSE1.DownloadsVALUES ('1068', '16-03-2018', '99', '153') 
 INTO PSE1.DownloadsVALUES ('1069', '28-05-2018', '513', '135') 
 INTO PSE1.DownloadsVALUES ('1070', '07-04-2019', '223', '394') 
 INTO PSE1.DownloadsVALUES ('1071', '31-08-2018', '149', '277') 
 INTO PSE1.DownloadsVALUES ('1072', '27-07-2018', '460', '107') 
 INTO PSE1.DownloadsVALUES ('1073', '21-01-2019', '179', '633') 
 INTO PSE1.DownloadsVALUES ('1074', '23-02-2018', '328', '138') 
 INTO PSE1.DownloadsVALUES ('1075', '30-10-2018', '911', '620') 
 INTO PSE1.DownloadsVALUES ('1076', '14-12-2018', '390', '277') 
 INTO PSE1.DownloadsVALUES ('1077', '04-09-2019', '790', '214') 
 INTO PSE1.DownloadsVALUES ('1078', '19-09-2019', '19', '436') 
 INTO PSE1.DownloadsVALUES ('1079', '24-03-2018', '38', '501') 
 INTO PSE1.DownloadsVALUES ('1080', '27-12-2018', '898', '567') 
 INTO PSE1.DownloadsVALUES ('1081', '25-11-2018', '552', '287') 
 INTO PSE1.DownloadsVALUES ('1082', '08-12-2018', '895', '395') 
 INTO PSE1.DownloadsVALUES ('1083', '09-03-2018', '863', '29') 
 INTO PSE1.DownloadsVALUES ('1084', '12-01-2018', '113', '363') 
 INTO PSE1.DownloadsVALUES ('1085', '28-08-2019', '947', '213') 
 INTO PSE1.DownloadsVALUES ('1086', '10-03-2018', '75', '72') 
 INTO PSE1.DownloadsVALUES ('1087', '12-06-2018', '771', '146') 
 INTO PSE1.DownloadsVALUES ('1088', '21-12-2018', '744', '320') 
 INTO PSE1.DownloadsVALUES ('1089', '20-11-2019', '86', '590') 
 INTO PSE1.DownloadsVALUES ('1090', '22-04-2019', '307', '386') 
 INTO PSE1.DownloadsVALUES ('1091', '13-05-2019', '756', '141') 
 INTO PSE1.DownloadsVALUES ('1092', '15-03-2018', '915', '38') 
 INTO PSE1.DownloadsVALUES ('1093', '06-09-2019', '762', '285') 
 INTO PSE1.DownloadsVALUES ('1094', '12-01-2018', '950', '437') 
 INTO PSE1.DownloadsVALUES ('1095', '26-04-2019', '187', '73') 
 INTO PSE1.DownloadsVALUES ('1096', '20-01-2018', '169', '489') 
 INTO PSE1.DownloadsVALUES ('1097', '18-08-2019', '749', '366') 
