INSERT ALL 
 INTO PSE1.Kunde VALUES ('0' , 'Samuel', 'Moore', 'Sixth Street', '83', '20472', 'Aachen', '02-07-2019', 'm', '6', '16-11-1956') 
 INTO PSE1.Kunde VALUES ('955' , 'Ezra', 'Rodriguez', 'Fourth Street', '98', '28268', 'Leverkusen', '16-09-2019', 'f', '7', '27-05-2004') 
 INTO PSE1.Kunde VALUES ('956' , 'Isabella', 'Martinez', 'Fifth Street', '99', '69098', 'Freiburg im Breisgau', '27-03-2019', 'f', '10', '26-08-1958') 
 INTO PSE1.Kunde VALUES ('957' , 'Carson', 'Williams', 'Fifth Street', '27', '76026', 'Augsburg', '27-04-2019', 'm', '6', '25-06-1975') 
 INTO PSE1.Kunde VALUES ('958' , 'Levi', 'Clark', 'Main Street', '58', '37980', 'Düsseldorf', '08-02-2019', 'm', '3', '27-05-1951') 
 INTO PSE1.Kunde VALUES ('959' , 'Mila', 'Thomas', 'Fourth Street', '21', '92322', 'Frankfurt am Main', '19-02-2019', 'f', '12', '30-01-1969') 
 INTO PSE1.Kunde VALUES ('960' , 'Levi', 'Thomas', 'Sixth Street', '95', '79167', 'Saarbrücken', '09-02-2019', 'm', '4', '20-07-1977') 
 INTO PSE1.Kunde VALUES ('961' , 'Alexander', 'Brown', 'Third Street', '0', '41070', 'Karlsruhe', '22-08-2019', 'm', '11', '14-07-1968') 
 INTO PSE1.Kunde VALUES ('962' , 'Madelyn', 'Thomas', 'Elm Street', '48', '79961', 'Hamburg', '23-03-2019', 'm', '13', '24-03-2005') 
 INTO PSE1.Kunde VALUES ('963' , 'Adalyn', 'Robinson', 'Second Street', '71', '98817', 'Stuttgart', '13-08-2019', 'f', '5', '04-07-1964') 
 INTO PSE1.Kunde VALUES ('964' , 'Ethan', 'Lewis', 'Park Street', '38', '22494', 'Nuremberg', '10-07-2019', 'm', '9', '24-12-2002') 
 INTO PSE1.Kunde VALUES ('965' , 'Maverick', 'Brown', 'Lake Street', '7', '17771', 'Mannheim', '12-11-2019', 'm', '6', '18-10-1971') 
 INTO PSE1.Kunde VALUES ('966' , 'Layla', 'Thompson', 'Elm Street', '32', '84831', 'Cologne', '26-12-2019', 'm', '5', '13-02-1953') 
 INTO PSE1.Kunde VALUES ('967' , 'Eliana', 'Hall', 'Second Street', '48', '48067', 'Gelsenkirchen', '05-04-2019', 'm', '6', '17-12-1989') 
 INTO PSE1.Kunde VALUES ('968' , 'Riley', 'Thompson', 'Second Street', '22', '99103', 'Oldenburg', '21-11-2019', 'm', '1', '18-04-1975') 
 INTO PSE1.Kunde VALUES ('969' , 'Grayson', 'Jackson', 'View Street', '35', '60791', 'Dresden', '01-04-2019', 'f', '4', '29-12-1965') 
 INTO PSE1.Kunde VALUES ('970' , 'Layla', 'Martin', 'Elm Street', '44', '54764', 'Hamm', '14-01-2019', 'm', '3', '29-02-1988') 
 INTO PSE1.Kunde VALUES ('971' , 'Muhammad', 'Wilson', 'View Street', '65', '95083', 'Erfurt', '12-05-2019', 'f', '1', '16-03-1997') 
 INTO PSE1.Kunde VALUES ('972' , 'Grayson', 'White', 'Fifth Street', '88', '43028', 'Kiel', '27-11-2019', 'f', '6', '31-08-1988') 
 INTO PSE1.Kunde VALUES ('973' , 'Ellie', 'Perez', 'Main Street', '3', '35316', 'Freiburg im Breisgau', '11-04-2019', 'f', '5', '01-01-1981') 
 INTO PSE1.Kunde VALUES ('974' , 'Ava', 'Thomas', 'Fifth Street', '40', '62163', 'Freiburg im Breisgau', '02-12-2019', 'm', '2', '27-08-1994') 
 INTO PSE1.Kunde VALUES ('975' , 'Mateo', 'Moore', 'Elm Street', '69', '57181', 'Chemnitz', '19-12-2019', 'f', '1', '24-09-1968') 
 INTO PSE1.Kunde VALUES ('976' , 'Samuel', 'Brown', 'Elm Street', '9', '21981', 'Berlin', '11-03-2019', 'm', '9', '16-01-1977') 
 INTO PSE1.Kunde VALUES ('977' , 'Jacob', 'Anderson', 'Maple Street', '48', '92901', 'Mannheim', '23-12-2019', 'm', '5', '20-12-1982') 
 INTO PSE1.Kunde VALUES ('978' , 'Samuel', 'Miller', 'Second Street', '51', '85596', 'Braunschweig', '14-03-2019', 'm', '10', '13-03-1974') 
 INTO PSE1.Kunde VALUES ('979' , 'Colton', 'Jones', 'Maple Street', '90', '76598', 'Berlin', '25-05-2019', 'f', '7', '04-08-1992') 
 INTO PSE1.Kunde VALUES ('980' , 'Zoe', 'Williams', 'First Street', '56', '74356', 'Leverkusen', '19-05-2019', 'm', '11', '08-12-1996') 
 INTO PSE1.Kunde VALUES ('981' , 'Carson', 'Clark', 'Elm Street', '18', '14907', 'Gelsenkirchen', '09-05-2019', 'm', '10', '20-09-1994') 
 INTO PSE1.Kunde VALUES ('982' , 'Owen', 'Taylor', 'Oak Street', '89', '95247', 'Bochum', '15-03-2019', 'f', '11', '05-09-1959') 
 INTO PSE1.Kunde VALUES ('983' , 'Elena', 'White', 'Pine Street', '32', '49613', 'Mainz', '02-04-2019', 'f', '7', '30-12-1993') 
 INTO PSE1.Kunde VALUES ('984' , 'Olivia', 'Lee', 'Seventh Street', '42', '90743', 'Mönchengladbach', '17-03-2019', 'm', '4', '19-06-1971') 
 INTO PSE1.Kunde VALUES ('985' , 'Chloe', 'Anderson', 'Pine Street', '97', '21217', 'Rostock', '27-02-2019', 'f', '13', '31-05-1960') 
 INTO PSE1.Kunde VALUES ('986' , 'William', 'Wilson', 'Fourth Street', '80', '17896', 'Dortmund', '24-03-2019', 'm', '3', '12-08-1976') 
 INTO PSE1.Kunde VALUES ('987' , 'Michael', 'Thompson', 'Maple Street', '25', '64620', 'Mönchengladbach', '06-01-2019', 'm', '7', '06-06-1982') 
 INTO PSE1.Kunde VALUES ('988' , 'Cameron', 'Martin', 'Second Street', '16', '69009', 'Augsburg', '23-05-2019', 'm', '6', '03-04-1959') 
 INTO PSE1.Kunde VALUES ('989' , 'Olivia', 'Thomas', 'Washington Street', '67', '93322', 'Cologne', '06-08-2019', 'f', '7', '04-09-1957') 
 INTO PSE1.Kunde VALUES ('990' , 'Peyton', 'Miller', 'Fifth Street', '26', '56342', 'Halle', '29-08-2019', 'f', '10', '09-01-1964') 
 INTO PSE1.Kunde VALUES ('991' , 'Elena', 'Williams', 'Second Street', '11', '19010', 'Leverkusen', '25-12-2019', 'm', '1', '25-05-1952') 
 INTO PSE1.Kunde VALUES ('992' , 'Isla', 'Perez', 'Second Street', '96', '13327', 'Augsburg', '12-04-2019', 'f', '9', '06-02-1964') 
 INTO PSE1.Kunde VALUES ('993' , 'Paisley', 'Lee', 'Third Street', '79', '18563', 'Wiesbaden', '09-01-2019', 'f', '11', '06-04-1979') 
 INTO PSE1.Kunde VALUES ('994' , 'Madelyn', 'Brown', 'Sixth Street', '34', '50590', 'Krefeld', '21-05-2019', 'm', '8', '01-08-1956') 
 INTO PSE1.Kunde VALUES ('995' , 'Levi', 'Davis', 'Third Street', '31', '68194', 'Wuppertal', '19-11-2019', 'm', '8', '31-12-1955') 
 INTO PSE1.Kunde VALUES ('996' , 'Avery', 'Walker', 'Maple Street', '34', '28538', 'Kassel', '19-10-2019', 'f', '10', '31-08-1962') 
 INTO PSE1.Kunde VALUES ('997' , 'Avery', 'Martinez', 'First Street', '74', '23053', 'Bielefeld', '08-09-2019', 'm', '4', '22-04-1962') 
 INTO PSE1.Kunde VALUES ('998' , 'Caleb', 'Anderson', 'Fifth Street', '38', '20113', 'Oberhausen', '24-01-2019', 'f', '1', '11-05-1961') 
 INTO PSE1.Kunde VALUES ('999' , 'Emma', 'Davis', 'Ninth Street', '75', '49134', 'Oberhausen', '07-01-2019', 'f', '4', '11-11-1969') 
 INTO PSE1.Kunde VALUES ('1000' , 'Aurora', 'Rodriguez', 'Second Street', '89', '52657', 'Wiesbaden', '31-10-2019', 'f', '8', '21-05-1987') 
 INTO PSE1.Kunde VALUES ('1001' , 'James', 'Harris', 'Seventh Street', '38', '34914', 'Leverkusen', '02-07-2019', 'f', '4', '12-10-1977') 
 INTO PSE1.Kunde VALUES ('1002' , 'Maverick', 'Martin', 'Oak Street', '50', '94148', 'Frankfurt am Main', '03-02-2019', 'f', '12', '12-10-1980') 
 INTO PSE1.Kunde VALUES ('1003' , 'Amelia', 'White', 'First Street', '79', '47520', 'Potsdam', '25-04-2019', 'f', '12', '22-06-1983') 
 INTO PSE1.Kunde VALUES ('1004' , 'William', 'Gonzalez', 'View Street', '35', '81658', 'Solingen', '06-01-2019', 'f', '5', '24-04-1996') 
 INTO PSE1.Kunde VALUES ('1005' , 'Harper', 'Martin', 'Pine Street', '92', '24379', 'Berlin', '08-07-2019', 'f', '3', '03-09-1970') 
 INTO PSE1.Kunde VALUES ('1006' , 'Emilia', 'White', 'Cedar Street', '56', '26831', 'Krefeld', '25-07-2019', 'f', '1', '02-03-1992') 
 INTO PSE1.Kunde VALUES ('1007' , 'Luke', 'Wilson', 'First Street', '31', '13660', 'Hamm', '24-03-2019', 'f', '3', '17-08-1954') 
 INTO PSE1.Kunde VALUES ('1008' , 'Maya', 'Wilson', 'Second Street', '81', '74994', 'Essen', '18-12-2019', 'm', '9', '12-01-1967') 
 INTO PSE1.Kunde VALUES ('1009' , 'Jayce', 'Anderson', 'Eighth Street', '17', '83143', 'Hagen', '05-04-2019', 'f', '13', '13-03-1971') 
 INTO PSE1.Kunde VALUES ('1010' , 'Eliana', 'Thompson', 'First Street', '69', '47680', 'Bonn', '25-01-2019', 'f', '13', '19-03-1957') 
 INTO PSE1.Kunde VALUES ('1011' , 'Isaiah', 'Brown', 'Pine Street', '42', '56873', 'Bochum', '02-09-2019', 'f', '4', '22-06-2001') 
 INTO PSE1.Kunde VALUES ('1012' , 'Isaiah', 'Thompson', 'Eighth Street', '43', '51009', 'Essen', '03-06-2019', 'f', '1', '23-07-1977') 
 INTO PSE1.Kunde VALUES ('1013' , 'Miles', 'Lopez', 'Ninth Street', '10', '55397', 'Potsdam', '07-08-2019', 'm', '2', '17-03-1974') 
 INTO PSE1.Kunde VALUES ('1014' , 'Charlotte', 'Walker', 'Third Street', '25', '16238', 'Kassel', '28-05-2019', 'm', '1', '22-07-1964') 
 INTO PSE1.Kunde VALUES ('1015' , 'Camilla', 'Thompson', 'Fourth Street', '90', '70452', 'Duisburg', '03-01-2019', 'f', '13', '10-08-1998') 
 INTO PSE1.Kunde VALUES ('1016' , 'Lily', 'Garcia', 'Third Street', '20', '96537', 'Mülheim an der Ruhr', '06-08-2019', 'f', '7', '15-03-2000') 
 INTO PSE1.Kunde VALUES ('1017' , 'Ellie', 'Anderson', 'Second Street', '40', '42648', 'Duisburg', '08-12-2019', 'm', '10', '08-12-1966') 
 INTO PSE1.Kunde VALUES ('1018' , 'Emma', 'Martin', 'Lake Street', '90', '89777', 'Mannheim', '18-07-2019', 'm', '2', '14-09-1969') 
 INTO PSE1.Kunde VALUES ('1019' , 'Lucas', 'Williams', 'Pine Street', '22', '20989', 'Chemnitz', '02-10-2019', 'm', '3', '28-08-2004') 
 INTO PSE1.Kunde VALUES ('1020' , 'Muhammad', 'Hall', 'Eighth Street', '41', '47126', 'Dresden', '02-04-2019', 'm', '8', '01-09-1952') 
 INTO PSE1.Kunde VALUES ('1021' , 'Levi', 'Gonzalez', 'Elm Street', '66', '19964', 'Saarbrücken', '02-10-2019', 'f', '5', '31-01-1989') 
 INTO PSE1.Kunde VALUES ('1022' , 'Lucas', 'Wilson', 'First Street', '79', '59245', 'Freiburg im Breisgau', '29-09-2019', 'f', '10', '10-01-1999') 
 INTO PSE1.Kunde VALUES ('1023' , 'Emily', 'White', 'Elm Street', '48', '97590', 'Karlsruhe', '27-07-2019', 'm', '12', '19-10-1964') 
 INTO PSE1.Kunde VALUES ('1024' , 'Ariana', 'Jackson', 'Second Street', '61', '74612', 'Braunschweig', '08-06-2019', 'f', '6', '18-07-2004') 
 INTO PSE1.Kunde VALUES ('1025' , 'Aria', 'White', 'Washington Street', '87', '37515', 'Berlin', '02-10-2019', 'm', '8', '02-07-1963') 
 INTO PSE1.Kunde VALUES ('1026' , 'Layla', 'Thomas', 'Cedar Street', '18', '40313', 'Lübeck', '10-08-2019', 'm', '12', '05-05-1953') 
 INTO PSE1.Kunde VALUES ('1027' , 'Ryan', 'Perez', 'Third Street', '9', '59189', 'Leipzig', '04-11-2019', 'm', '4', '17-09-2004') 
 INTO PSE1.Kunde VALUES ('1028' , 'Cameron', 'Thomas', 'View Street', '9', '15381', 'Bochum', '09-07-2019', 'f', '13', '24-12-2002') 
 INTO PSE1.Kunde VALUES ('1029' , 'Olivia', 'Miller', 'Ninth Street', '99', '37842', 'Chemnitz', '29-06-2019', 'm', '13', '15-01-1998') 
 INTO PSE1.Kunde VALUES ('1030' , 'Ella', 'Martin', 'Lake Street', '68', '58010', 'Bochum', '16-02-2019', 'm', '9', '14-07-1961') 
 INTO PSE1.Kunde VALUES ('1031' , 'Daniel', 'Lee', 'Maple Street', '85', '12012', 'Stuttgart', '10-10-2019', 'f', '11', '05-03-2000') 
 INTO PSE1.Kunde VALUES ('1032' , 'Luke', 'Jackson', 'Lake Street', '9', '96362', 'Dresden', '11-03-2019', 'm', '13', '05-05-1973') 
 INTO PSE1.Kunde VALUES ('1033' , 'Maya', 'Wilson', 'Park Street', '99', '93614', 'Mannheim', '06-01-2019', 'f', '9', '11-03-1991') 
 INTO PSE1.Kunde VALUES ('1034' , 'Mia', 'Martinez', 'Second Street', '93', '71788', 'Stuttgart', '10-11-2019', 'm', '3', '20-12-1986') 
 INTO PSE1.Kunde VALUES ('1035' , 'Mia', 'Martin', 'View Street', '76', '57960', 'Mönchengladbach', '26-03-2019', 'm', '3', '29-04-1991') 
 INTO PSE1.Kunde VALUES ('1036' , 'Colton', 'Williams', 'Washington Street', '36', '88927', 'Kiel', '05-03-2019', 'm', '5', '06-10-1965') 
 INTO PSE1.Kunde VALUES ('1037' , 'Scarlett', 'Miller', 'Oak Street', '16', '12139', 'Gelsenkirchen', '11-05-2019', 'm', '5', '28-08-2001') 
 INTO PSE1.Kunde VALUES ('1038' , 'Madison', 'Clark', 'View Street', '20', '79098', 'Mülheim an der Ruhr', '03-11-2019', 'm', '9', '27-06-1977') 
 INTO PSE1.Kunde VALUES ('1039' , 'Ellie', 'Williams', 'Main Street', '96', '56921', 'Dresden', '01-08-2019', 'f', '2', '06-12-1977') 
 INTO PSE1.Kunde VALUES ('1040' , 'Maya', 'Lopez', 'Oak Street', '7', '19648', 'Bremen', '23-12-2019', 'm', '10', '29-01-1951') 
 INTO PSE1.Kunde VALUES ('1041' , 'Camilla', 'Jones', 'Second Street', '90', '26393', 'Hanover', '16-06-2019', 'm', '1', '06-01-1973') 
 INTO PSE1.Kunde VALUES ('1042' , 'Nora', 'Lee', 'Cedar Street', '72', '75380', 'Osnabrück', '01-03-2019', 'm', '10', '05-07-1991') 
 INTO PSE1.Kunde VALUES ('1043' , 'Aubrey', 'Johnson', 'Seventh Street', '70', '96881', 'Leverkusen', '10-04-2019', 'f', '10', '04-08-1993') 
 INTO PSE1.Kunde VALUES ('1044' , 'Samuel', 'Clark', 'Fourth Street', '95', '48761', 'Münster', '14-10-2019', 'm', '5', '15-03-1979') 
 INTO PSE1.Kunde VALUES ('1045' , 'Charlie', 'Rodriguez', 'Ninth Street', '93', '92841', 'Potsdam', '12-07-2019', 'f', '5', '28-06-1994') 
 INTO PSE1.Kunde VALUES ('1046' , 'Julian', 'Jackson', 'Seventh Street', '30', '48390', 'Nuremberg', '05-07-2019', 'm', '10', '18-12-1964') 
 INTO PSE1.Kunde VALUES ('1047' , 'Benjamin', 'Martinez', 'Maple Street', '5', '29624', 'Gelsenkirchen', '08-11-2019', 'm', '5', '29-05-1976') 
 INTO PSE1.Kunde VALUES ('1048' , 'Nova', 'Lewis', 'Second Street', '74', '52832', 'Duisburg', '06-10-2019', 'f', '10', '01-11-1957') 
 INTO PSE1.Kunde VALUES ('1049' , 'Leah', 'Gonzalez', 'Cedar Street', '79', '60012', 'Krefeld', '19-04-2019', 'm', '8', '09-06-2000') 
 INTO PSE1.Kunde VALUES ('1050' , 'Samuel', 'White', 'Pine Street', '23', '76294', 'Nuremberg', '29-08-2019', 'f', '1', '14-01-1954') 
 INTO PSE1.Kunde VALUES ('1051' , 'Lila', 'Lee', 'Sixth Street', '84', '47699', 'Bielefeld', '11-05-2019', 'f', '8', '23-07-1985') 
 INTO PSE1.Kunde VALUES ('1052' , 'Mason', 'Robinson', 'Main Street', '1', '61375', 'Potsdam', '04-01-2019', 'f', '2', '15-07-1996') 
 INTO PSE1.Kunde VALUES ('1053' , 'Mason', 'Williams', 'Third Street', '62', '95749', 'Hagen', '13-07-2019', 'm', '3', '11-12-2005') 
 INTO PSE1.Kunde VALUES ('1054' , 'Cameron', 'Harris', 'Park Street', '95', '60765', 'Frankfurt am Main', '26-09-2019', 'f', '12', '23-11-1969') 
 INTO PSE1.Kunde VALUES ('1055' , 'Lila', 'Moore', 'Lake Street', '90', '51090', 'Karlsruhe', '01-08-2019', 'm', '4', '14-05-1976') 
 INTO PSE1.Kunde VALUES ('1056' , 'Leo', 'Brown', 'Washington Street', '3', '97570', 'Freiburg im Breisgau', '23-04-2019', 'm', '7', '08-08-1992') 
 INTO PSE1.Kunde VALUES ('1057' , 'Lila', 'Hernandez', 'Eighth Street', '83', '91136', 'Gelsenkirchen', '19-02-2019', 'm', '5', '18-06-1993') 
 INTO PSE1.Kunde VALUES ('1058' , 'Benjamin', 'Miller', 'First Street', '28', '28272', 'Dresden', '18-06-2019', 'm', '12', '20-11-1951') 
 INTO PSE1.Kunde VALUES ('1059' , 'Gianna', 'Clark', 'Elm Street', '29', '97695', 'Kiel', '12-01-2019', 'm', '6', '22-10-1963') 
 INTO PSE1.Kunde VALUES ('1060' , 'Jacob', 'Lewis', 'First Street', '51', '61540', 'Oldenburg', '18-11-2019', 'f', '12', '06-09-1991') 
 INTO PSE1.Kunde VALUES ('1061' , 'Kinsley', 'Jackson', 'Washington Street', '91', '12483', 'Bielefeld', '24-04-2019', 'f', '4', '02-11-1993') 
 INTO PSE1.Kunde VALUES ('1062' , 'Nora', 'Jones', 'Ninth Street', '74', '98998', 'Chemnitz', '24-12-2019', 'f', '7', '04-09-1971') 
 INTO PSE1.Kunde VALUES ('1063' , 'Aubrey', 'Rodriguez', 'Eighth Street', '25', '27674', 'Ludwigshafen am Rhein', '02-10-2019', 'm', '8', '20-08-1990') 
 INTO PSE1.Kunde VALUES ('1064' , 'Maya', 'Jones', 'Fifth Street', '86', '71230', 'Potsdam', '10-03-2019', 'f', '9', '10-03-1981') 
 INTO PSE1.Kunde VALUES ('1065' , 'Ezra', 'Robinson', 'Pine Street', '81', '48319', 'Potsdam', '05-12-2019', 'f', '2', '07-03-1977') 
 INTO PSE1.Kunde VALUES ('1066' , 'Kinsley', 'Gonzalez', 'Lake Street', '68', '82008', 'Braunschweig', '09-06-2019', 'f', '10', '21-09-1967') 
 INTO PSE1.Kunde VALUES ('1067' , 'Wyatt', 'Williams', 'Elm Street', '81', '12451', 'Oldenburg', '20-06-2019', 'm', '12', '27-09-1962') 
 INTO PSE1.Kunde VALUES ('1068' , 'Aria', 'Wilson', 'Maple Street', '88', '60076', 'Bielefeld', '26-10-2019', 'm', '10', '13-09-1987') 
 INTO PSE1.Kunde VALUES ('1069' , 'Lila', 'Lopez', 'Eighth Street', '53', '78516', 'Nuremberg', '02-05-2019', 'f', '9', '03-03-1952') 
 INTO PSE1.Kunde VALUES ('1070' , 'Asher', 'Lopez', 'Washington Street', '19', '62825', 'Munich', '10-06-2019', 'f', '3', '06-05-1958') 
 INTO PSE1.Kunde VALUES ('1071' , 'Lucas', 'Johnson', 'Pine Street', '38', '70637', 'Münster', '01-01-2019', 'm', '6', '06-07-1985') 
 INTO PSE1.Kunde VALUES ('1072' , 'Maya', 'Martinez', 'Ninth Street', '53', '97183', 'Mainz', '30-01-2019', 'm', '10', '21-09-1959') 
 INTO PSE1.Kunde VALUES ('1073' , 'Avery', 'Lee', 'First Street', '56', '13276', 'Magdeburg', '30-08-2019', 'f', '2', '15-04-1999') 
 INTO PSE1.Kunde VALUES ('1074' , 'Madelyn', 'Walker', 'Cedar Street', '25', '47758', 'Bremen', '08-12-2019', 'm', '2', '21-05-1991') 
 INTO PSE1.Kunde VALUES ('1075' , 'Samuel', 'Thomas', 'Park Street', '5', '74281', 'Karlsruhe', '27-08-2019', 'f', '12', '30-07-1966') 
 INTO PSE1.Kunde VALUES ('1076' , 'Zoe', 'Walker', 'Ninth Street', '92', '99388', 'Braunschweig', '23-01-2019', 'f', '1', '05-06-1993') 
 INTO PSE1.Kunde VALUES ('1077' , 'Maverick', 'Hernandez', 'Fourth Street', '88', '89702', 'Frankfurt am Main', '28-08-2019', 'f', '7', '27-03-1978') 
 INTO PSE1.Kunde VALUES ('1078' , 'Cameron', 'Anderson', 'Second Street', '81', '43849', 'Aachen', '26-04-2019', 'f', '11', '13-01-1981') 
 INTO PSE1.Kunde VALUES ('1079' , 'William', 'Lopez', 'Eighth Street', '86', '32720', 'Aachen', '10-08-2019', 'm', '6', '06-06-1969') 
 INTO PSE1.Kunde VALUES ('1080' , 'Scarlett', 'Davis', 'Pine Street', '22', '90439', 'Hamburg', '30-01-2019', 'f', '10', '03-03-2002') 
 INTO PSE1.Kunde VALUES ('1081' , 'Maverick', 'Anderson', 'Third Street', '60', '17732', 'Augsburg', '07-04-2019', 'm', '6', '13-11-1953') 
 INTO PSE1.Kunde VALUES ('1082' , 'Cameron', 'Harris', 'Main Street', '66', '18213', 'Hamburg', '31-01-2019', 'm', '5', '29-03-1985') 
 INTO PSE1.Kunde VALUES ('1083' , 'Oliver', 'Jackson', 'Elm Street', '35', '67671', 'Leipzig', '11-03-2019', 'f', '7', '30-06-1997') 
 INTO PSE1.Kunde VALUES ('1084' , 'Michael', 'Lewis', 'Fifth Street', '52', '17994', 'Bochum', '08-05-2019', 'f', '3', '01-08-1970') 
 INTO PSE1.Kunde VALUES ('1085' , 'Isla', 'Thomas', 'View Street', '55', '84818', 'Hamm', '18-11-2019', 'f', '11', '23-11-1999') 
 INTO PSE1.Kunde VALUES ('1086' , 'Asher', 'Martinez', 'Second Street', '78', '11580', 'Kassel', '23-08-2019', 'f', '10', '13-01-1999') 
 INTO PSE1.Kunde VALUES ('1087' , 'Benjamin', 'Wilson', 'View Street', '37', '67341', 'Aachen', '14-09-2019', 'm', '11', '01-02-1977') 
 INTO PSE1.Kunde VALUES ('1088' , 'Isla', 'Williams', 'Eighth Street', '40', '26194', 'Erfurt', '27-06-2019', 'f', '8', '15-06-1961') 
 INTO PSE1.Kunde VALUES ('1089' , 'Charlotte', 'Martin', 'Pine Street', '3', '80422', 'Kassel', '07-08-2019', 'f', '5', '18-08-1976') 
 INTO PSE1.Kunde VALUES ('1090' , 'Abigail', 'Martinez', 'First Street', '34', '61635', 'Erfurt', '25-11-2019', 'f', '12', '07-01-1964') 
 INTO PSE1.Kunde VALUES ('1091' , 'Wyatt', 'Clark', 'Fourth Street', '57', '84273', 'Rostock', '18-05-2019', 'f', '12', '24-08-1958') 
 INTO PSE1.Kunde VALUES ('1092' , 'Hannah', 'Anderson', 'Sixth Street', '91', '11254', 'Berlin', '27-12-2019', 'm', '7', '17-06-1950') 
 INTO PSE1.Kunde VALUES ('1093' , 'Colton', 'White', 'Second Street', '99', '27556', 'Karlsruhe', '28-05-2019', 'f', '1', '04-11-1955') 
 INTO PSE1.Kunde VALUES ('1094' , 'Maya', 'Miller', 'Elm Street', '33', '77084', 'Mainz', '25-04-2019', 'm', '7', '01-09-2004') 
 INTO PSE1.Kunde VALUES ('1095' , 'Layla', 'Thomas', 'Fourth Street', '81', '34617', 'Magdeburg', '16-07-2019', 'm', '9', '13-02-2002') 
 INTO PSE1.Kunde VALUES ('1096' , 'Isla', 'Perez', 'Pine Street', '60', '63449', 'Münster', '13-04-2019', 'f', '5', '19-04-1971') 
 INTO PSE1.Kunde VALUES ('1097' , 'Liam', 'Johnson', 'Eighth Street', '24', '19234', 'Kassel', '11-12-2019', 'm', '8', '30-05-1966') 
 INTO PSE1.Kunde VALUES ('1098' , 'Caleb', 'Lewis', 'Park Street', '78', '40603', 'Aachen', '23-11-2019', 'f', '9', '06-07-1954') 
 INTO PSE1.Kunde VALUES ('1099' , 'Emma', 'Perez', 'Fourth Street', '4', '12444', 'Münster', '15-01-2019', 'm', '1', '15-06-1974') 
 INTO PSE1.Kunde VALUES ('1100' , 'Aiden', 'Robinson', 'Sixth Street', '88', '67738', 'Bonn', '06-04-2019', 'f', '1', '26-10-1978') 
 INTO PSE1.Kunde VALUES ('1101' , 'Benjamin', 'Lewis', 'Main Street', '33', '22379', 'Münster', '10-05-2019', 'f', '8', '27-06-2000') 
 INTO PSE1.Kunde VALUES ('1102' , 'Scarlett', 'Hall', 'Fifth Street', '15', '98284', 'Stuttgart', '01-08-2019', 'm', '9', '05-09-1965') 
 INTO PSE1.Kunde VALUES ('1103' , 'Ariana', 'Jackson', 'Elm Street', '86', '40414', 'Karlsruhe', '23-09-2019', 'f', '9', '05-01-1959') 
 INTO PSE1.Kunde VALUES ('1104' , 'Lincoln', 'Miller', 'Fourth Street', '47', '53780', 'Krefeld', '29-07-2019', 'f', '12', '11-04-1974') 
 INTO PSE1.Kunde VALUES ('1105' , 'Olivia', 'Rodriguez', 'Park Street', '8', '67258', 'Hamburg', '30-11-2019', 'f', '3', '26-02-2004') 
 INTO PSE1.Kunde VALUES ('1106' , 'Owen', 'Moore', 'Eighth Street', '73', '14905', 'Saarbrücken', '20-11-2019', 'm', '5', '02-11-1988') 
 INTO PSE1.Kunde VALUES ('1107' , 'Daniel', 'Hall', 'Park Street', '56', '29333', 'Leverkusen', '19-10-2019', 'm', '5', '08-04-1970') 
 INTO PSE1.Kunde VALUES ('1108' , 'Sarah', 'Williams', 'Ninth Street', '48', '73593', 'Osnabrück', '17-03-2019', 'm', '10', '15-10-2000') 
 INTO PSE1.Kunde VALUES ('1109' , 'Benjamin', 'Brown', 'Elm Street', '66', '63416', 'Dresden', '25-03-2019', 'm', '2', '10-07-2000') 
 INTO PSE1.Kunde VALUES ('1110' , 'Luke', 'Johnson', 'Oak Street', '73', '80082', 'Mainz', '25-11-2019', 'f', '4', '07-10-1967') 
 INTO PSE1.Kunde VALUES ('1111' , 'Ariana', 'Anderson', 'Third Street', '42', '90843', 'Potsdam', '22-07-2019', 'm', '12', '10-07-1973') 
 INTO PSE1.Kunde VALUES ('1112' , 'Ariana', 'Lee', 'Elm Street', '47', '31200', 'Leipzig', '27-01-2019', 'f', '10', '11-07-1967') 
 INTO PSE1.Kunde VALUES ('1113' , 'Chloe', 'Perez', 'Main Street', '21', '76302', 'Berlin', '28-06-2019', 'f', '2', '29-07-1988') 
 INTO PSE1.Kunde VALUES ('1114' , 'Alexander', 'Robinson', 'Lake Street', '57', '38004', 'Cologne', '05-12-2019', 'm', '10', '17-11-1996') 
 INTO PSE1.Kunde VALUES ('1115' , 'Caleb', 'Hall', 'Fifth Street', '58', '25517', 'Kassel', '21-10-2019', 'f', '12', '10-03-1999') 
 INTO PSE1.Kunde VALUES ('1116' , 'Everly', 'Miller', 'Elm Street', '26', '26043', 'Duisburg', '17-05-2019', 'f', '13', '15-12-1988') 
 INTO PSE1.Kunde VALUES ('1117' , 'Carson', 'Wilson', 'Second Street', '92', '83565', 'Potsdam', '28-03-2019', 'f', '3', '13-02-1958') 
 INTO PSE1.Kunde VALUES ('1118' , 'Mateo', 'Martinez', 'Cedar Street', '20', '69724', 'Bochum', '17-04-2019', 'f', '4', '23-07-1974') 
