INSERT ALL 
 INTO PSE1.WarenkorbPosition VALUES ('0', '1', '15', '221') 
 INTO PSE1.WarenkorbPosition VALUES ('5921', '1', '1262', '541') 
 INTO PSE1.WarenkorbPosition VALUES ('5922', '0', '576', '438') 
 INTO PSE1.WarenkorbPosition VALUES ('5923', '1', '888', '334') 
 INTO PSE1.WarenkorbPosition VALUES ('5924', '0', '1355', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('5925', '2', '1432', '269') 
 INTO PSE1.WarenkorbPosition VALUES ('5926', '2', '641', '515') 
 INTO PSE1.WarenkorbPosition VALUES ('5927', '2', '636', '368') 
 INTO PSE1.WarenkorbPosition VALUES ('5928', '1', '567', '520') 
 INTO PSE1.WarenkorbPosition VALUES ('5929', '0', '1966', '179') 
 INTO PSE1.WarenkorbPosition VALUES ('5930', '1', '1769', '391') 
 INTO PSE1.WarenkorbPosition VALUES ('5931', '2', '1922', '143') 
 INTO PSE1.WarenkorbPosition VALUES ('5932', '2', '1046', '303') 
 INTO PSE1.WarenkorbPosition VALUES ('5933', '0', '313', '404') 
 INTO PSE1.WarenkorbPosition VALUES ('5934', '0', '269', '10') 
 INTO PSE1.WarenkorbPosition VALUES ('5935', '1', '249', '543') 
 INTO PSE1.WarenkorbPosition VALUES ('5936', '1', '1165', '580') 
 INTO PSE1.WarenkorbPosition VALUES ('5937', '2', '1750', '276') 
 INTO PSE1.WarenkorbPosition VALUES ('5938', '2', '486', '463') 
 INTO PSE1.WarenkorbPosition VALUES ('5939', '1', '1967', '481') 
 INTO PSE1.WarenkorbPosition VALUES ('5940', '2', '1104', '490') 
 INTO PSE1.WarenkorbPosition VALUES ('5941', '2', '990', '341') 
 INTO PSE1.WarenkorbPosition VALUES ('5942', '2', '246', '307') 
 INTO PSE1.WarenkorbPosition VALUES ('5943', '2', '1510', '148') 
 INTO PSE1.WarenkorbPosition VALUES ('5944', '2', '568', '247') 
 INTO PSE1.WarenkorbPosition VALUES ('5945', '1', '752', '215') 
 INTO PSE1.WarenkorbPosition VALUES ('5946', '0', '794', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('5947', '2', '1623', '43') 
 INTO PSE1.WarenkorbPosition VALUES ('5948', '0', '697', '602') 
 INTO PSE1.WarenkorbPosition VALUES ('5949', '1', '490', '626') 
 INTO PSE1.WarenkorbPosition VALUES ('5950', '0', '1292', '444') 
 INTO PSE1.WarenkorbPosition VALUES ('5951', '0', '817', '544') 
 INTO PSE1.WarenkorbPosition VALUES ('5952', '2', '338', '542') 
 INTO PSE1.WarenkorbPosition VALUES ('5953', '0', '1873', '561') 
 INTO PSE1.WarenkorbPosition VALUES ('5954', '2', '1078', '607') 
 INTO PSE1.WarenkorbPosition VALUES ('5955', '0', '1566', '370') 
 INTO PSE1.WarenkorbPosition VALUES ('5956', '1', '1988', '378') 
 INTO PSE1.WarenkorbPosition VALUES ('5957', '0', '1448', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('5958', '1', '254', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('5959', '2', '120', '272') 
 INTO PSE1.WarenkorbPosition VALUES ('5960', '1', '1547', '178') 
 INTO PSE1.WarenkorbPosition VALUES ('5961', '0', '1606', '220') 
 INTO PSE1.WarenkorbPosition VALUES ('5962', '0', '1423', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('5963', '1', '114', '517') 
 INTO PSE1.WarenkorbPosition VALUES ('5964', '1', '1358', '398') 
 INTO PSE1.WarenkorbPosition VALUES ('5965', '1', '1034', '482') 
 INTO PSE1.WarenkorbPosition VALUES ('5966', '1', '1591', '439') 
 INTO PSE1.WarenkorbPosition VALUES ('5967', '1', '181', '28') 
 INTO PSE1.WarenkorbPosition VALUES ('5968', '0', '1067', '560') 
 INTO PSE1.WarenkorbPosition VALUES ('5969', '1', '1688', '193') 
 INTO PSE1.WarenkorbPosition VALUES ('5970', '0', '489', '30') 
 INTO PSE1.WarenkorbPosition VALUES ('5971', '2', '1373', '136') 
 INTO PSE1.WarenkorbPosition VALUES ('5972', '1', '1286', '525') 
 INTO PSE1.WarenkorbPosition VALUES ('5973', '0', '341', '168') 
 INTO PSE1.WarenkorbPosition VALUES ('5974', '0', '1805', '222') 
 INTO PSE1.WarenkorbPosition VALUES ('5975', '1', '1865', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('5976', '0', '791', '238') 
 INTO PSE1.WarenkorbPosition VALUES ('5977', '0', '669', '399') 
 INTO PSE1.WarenkorbPosition VALUES ('5978', '0', '1722', '47') 
 INTO PSE1.WarenkorbPosition VALUES ('5979', '2', '1337', '344') 
 INTO PSE1.WarenkorbPosition VALUES ('5980', '1', '57', '136') 
 INTO PSE1.WarenkorbPosition VALUES ('5981', '2', '1841', '381') 
 INTO PSE1.WarenkorbPosition VALUES ('5982', '1', '194', '91') 
 INTO PSE1.WarenkorbPosition VALUES ('5983', '1', '396', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('5984', '0', '1170', '160') 
 INTO PSE1.WarenkorbPosition VALUES ('5985', '1', '8', '377') 
 INTO PSE1.WarenkorbPosition VALUES ('5986', '0', '1132', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('5987', '1', '1221', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('5988', '1', '1129', '85') 
 INTO PSE1.WarenkorbPosition VALUES ('5989', '0', '1638', '190') 
 INTO PSE1.WarenkorbPosition VALUES ('5990', '1', '1774', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('5991', '2', '427', '511') 
 INTO PSE1.WarenkorbPosition VALUES ('5992', '1', '396', '372') 
 INTO PSE1.WarenkorbPosition VALUES ('5993', '0', '1207', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('5994', '2', '1125', '87') 
 INTO PSE1.WarenkorbPosition VALUES ('5995', '0', '546', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('5996', '2', '524', '141') 
 INTO PSE1.WarenkorbPosition VALUES ('5997', '1', '1281', '27') 
 INTO PSE1.WarenkorbPosition VALUES ('5998', '2', '194', '372') 
 INTO PSE1.WarenkorbPosition VALUES ('5999', '0', '1399', '450') 
 INTO PSE1.WarenkorbPosition VALUES ('6000', '1', '1264', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('6001', '0', '721', '494') 
 INTO PSE1.WarenkorbPosition VALUES ('6002', '2', '1984', '542') 
 INTO PSE1.WarenkorbPosition VALUES ('6003', '0', '402', '366') 
 INTO PSE1.WarenkorbPosition VALUES ('6004', '2', '505', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('6005', '2', '1664', '283') 
 INTO PSE1.WarenkorbPosition VALUES ('6006', '0', '1449', '615') 
 INTO PSE1.WarenkorbPosition VALUES ('6007', '1', '1917', '294') 
 INTO PSE1.WarenkorbPosition VALUES ('6008', '1', '1289', '40') 
 INTO PSE1.WarenkorbPosition VALUES ('6009', '1', '899', '18') 
 INTO PSE1.WarenkorbPosition VALUES ('6010', '0', '597', '120') 
 INTO PSE1.WarenkorbPosition VALUES ('6011', '1', '93', '140') 
 INTO PSE1.WarenkorbPosition VALUES ('6012', '1', '1322', '362') 
 INTO PSE1.WarenkorbPosition VALUES ('6013', '1', '552', '150') 
 INTO PSE1.WarenkorbPosition VALUES ('6014', '1', '1301', '54') 
 INTO PSE1.WarenkorbPosition VALUES ('6015', '0', '116', '438') 
 INTO PSE1.WarenkorbPosition VALUES ('6016', '0', '434', '448') 
 INTO PSE1.WarenkorbPosition VALUES ('6017', '2', '326', '607') 
 INTO PSE1.WarenkorbPosition VALUES ('6018', '2', '1410', '624') 
 INTO PSE1.WarenkorbPosition VALUES ('6019', '1', '496', '253') 
 INTO PSE1.WarenkorbPosition VALUES ('6020', '2', '1577', '443') 
 INTO PSE1.WarenkorbPosition VALUES ('6021', '2', '320', '245') 
 INTO PSE1.WarenkorbPosition VALUES ('6022', '0', '675', '209') 
 INTO PSE1.WarenkorbPosition VALUES ('6023', '1', '1279', '391') 
 INTO PSE1.WarenkorbPosition VALUES ('6024', '1', '957', '613') 
 INTO PSE1.WarenkorbPosition VALUES ('6025', '1', '1371', '307') 
 INTO PSE1.WarenkorbPosition VALUES ('6026', '1', '60', '539') 
 INTO PSE1.WarenkorbPosition VALUES ('6027', '1', '1208', '219') 
 INTO PSE1.WarenkorbPosition VALUES ('6028', '2', '1928', '430') 
 INTO PSE1.WarenkorbPosition VALUES ('6029', '0', '1159', '360') 
 INTO PSE1.WarenkorbPosition VALUES ('6030', '1', '94', '165') 
 INTO PSE1.WarenkorbPosition VALUES ('6031', '1', '418', '529') 
 INTO PSE1.WarenkorbPosition VALUES ('6032', '0', '766', '272') 
 INTO PSE1.WarenkorbPosition VALUES ('6033', '0', '591', '442') 
 INTO PSE1.WarenkorbPosition VALUES ('6034', '1', '1658', '351') 
 INTO PSE1.WarenkorbPosition VALUES ('6035', '1', '1601', '596') 
 INTO PSE1.WarenkorbPosition VALUES ('6036', '2', '1928', '26') 
 INTO PSE1.WarenkorbPosition VALUES ('6037', '2', '682', '409') 
 INTO PSE1.WarenkorbPosition VALUES ('6038', '1', '1311', '348') 
 INTO PSE1.WarenkorbPosition VALUES ('6039', '1', '720', '374') 
 INTO PSE1.WarenkorbPosition VALUES ('6040', '1', '1335', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('6041', '1', '1723', '396') 
 INTO PSE1.WarenkorbPosition VALUES ('6042', '0', '1430', '114') 
 INTO PSE1.WarenkorbPosition VALUES ('6043', '1', '634', '309') 
 INTO PSE1.WarenkorbPosition VALUES ('6044', '1', '105', '8') 
 INTO PSE1.WarenkorbPosition VALUES ('6045', '2', '574', '259') 
 INTO PSE1.WarenkorbPosition VALUES ('6046', '1', '57', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('6047', '1', '503', '397') 
 INTO PSE1.WarenkorbPosition VALUES ('6048', '1', '905', '125') 
 INTO PSE1.WarenkorbPosition VALUES ('6049', '2', '473', '70') 
 INTO PSE1.WarenkorbPosition VALUES ('6050', '2', '1807', '301') 
 INTO PSE1.WarenkorbPosition VALUES ('6051', '1', '1090', '288') 
 INTO PSE1.WarenkorbPosition VALUES ('6052', '1', '1169', '53') 
 INTO PSE1.WarenkorbPosition VALUES ('6053', '1', '1593', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('6054', '2', '1954', '241') 
 INTO PSE1.WarenkorbPosition VALUES ('6055', '1', '1314', '121') 
 INTO PSE1.WarenkorbPosition VALUES ('6056', '1', '181', '494') 
 INTO PSE1.WarenkorbPosition VALUES ('6057', '2', '1612', '567') 
 INTO PSE1.WarenkorbPosition VALUES ('6058', '0', '146', '374') 
 INTO PSE1.WarenkorbPosition VALUES ('6059', '2', '321', '403') 
 INTO PSE1.WarenkorbPosition VALUES ('6060', '1', '1334', '260') 
 INTO PSE1.WarenkorbPosition VALUES ('6061', '0', '1391', '426') 
 INTO PSE1.WarenkorbPosition VALUES ('6062', '2', '1499', '231') 
 INTO PSE1.WarenkorbPosition VALUES ('6063', '2', '528', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('6064', '1', '1136', '74') 
 INTO PSE1.WarenkorbPosition VALUES ('6065', '2', '231', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('6066', '1', '418', '202') 
 INTO PSE1.WarenkorbPosition VALUES ('6067', '0', '1265', '56') 
 INTO PSE1.WarenkorbPosition VALUES ('6068', '0', '831', '188') 
 INTO PSE1.WarenkorbPosition VALUES ('6069', '2', '1309', '623') 
 INTO PSE1.WarenkorbPosition VALUES ('6070', '2', '1606', '516') 
 INTO PSE1.WarenkorbPosition VALUES ('6071', '2', '1694', '57') 
 INTO PSE1.WarenkorbPosition VALUES ('6072', '1', '1175', '104') 
 INTO PSE1.WarenkorbPosition VALUES ('6073', '0', '460', '423') 
 INTO PSE1.WarenkorbPosition VALUES ('6074', '1', '884', '69') 
 INTO PSE1.WarenkorbPosition VALUES ('6075', '2', '1545', '225') 
 INTO PSE1.WarenkorbPosition VALUES ('6076', '1', '1329', '205') 
 INTO PSE1.WarenkorbPosition VALUES ('6077', '0', '1324', '631') 
 INTO PSE1.WarenkorbPosition VALUES ('6078', '1', '1112', '431') 
 INTO PSE1.WarenkorbPosition VALUES ('6079', '0', '687', '594') 
 INTO PSE1.WarenkorbPosition VALUES ('6080', '2', '914', '499') 
 INTO PSE1.WarenkorbPosition VALUES ('6081', '0', '1710', '133') 
 INTO PSE1.WarenkorbPosition VALUES ('6082', '1', '195', '305') 
 INTO PSE1.WarenkorbPosition VALUES ('6083', '2', '1539', '161') 
 INTO PSE1.WarenkorbPosition VALUES ('6084', '0', '1054', '153') 
 INTO PSE1.WarenkorbPosition VALUES ('6085', '0', '373', '442') 
 INTO PSE1.WarenkorbPosition VALUES ('6086', '0', '1133', '310') 
 INTO PSE1.WarenkorbPosition VALUES ('6087', '1', '1907', '163') 
 INTO PSE1.WarenkorbPosition VALUES ('6088', '1', '670', '294') 
 INTO PSE1.WarenkorbPosition VALUES ('6089', '1', '593', '49') 
 INTO PSE1.WarenkorbPosition VALUES ('6090', '2', '729', '167') 
 INTO PSE1.WarenkorbPosition VALUES ('6091', '1', '573', '617') 
 INTO PSE1.WarenkorbPosition VALUES ('6092', '1', '329', '473') 
 INTO PSE1.WarenkorbPosition VALUES ('6093', '0', '1963', '163') 
 INTO PSE1.WarenkorbPosition VALUES ('6094', '0', '840', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('6095', '0', '253', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('6096', '1', '461', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('6097', '2', '533', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('6098', '0', '1285', '66') 
 INTO PSE1.WarenkorbPosition VALUES ('6099', '2', '747', '338') 
 INTO PSE1.WarenkorbPosition VALUES ('6100', '0', '871', '87') 
 INTO PSE1.WarenkorbPosition VALUES ('6101', '1', '342', '287') 
 INTO PSE1.WarenkorbPosition VALUES ('6102', '2', '835', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('6103', '0', '1071', '14') 
 INTO PSE1.WarenkorbPosition VALUES ('6104', '1', '1357', '161') 
 INTO PSE1.WarenkorbPosition VALUES ('6105', '2', '843', '32') 
 INTO PSE1.WarenkorbPosition VALUES ('6106', '0', '1544', '68') 
 INTO PSE1.WarenkorbPosition VALUES ('6107', '1', '609', '357') 
 INTO PSE1.WarenkorbPosition VALUES ('6108', '0', '739', '583') 
 INTO PSE1.WarenkorbPosition VALUES ('6109', '0', '826', '56') 
 INTO PSE1.WarenkorbPosition VALUES ('6110', '2', '1786', '376') 
 INTO PSE1.WarenkorbPosition VALUES ('6111', '2', '39', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('6112', '1', '1654', '366') 
 INTO PSE1.WarenkorbPosition VALUES ('6113', '2', '747', '217') 
 INTO PSE1.WarenkorbPosition VALUES ('6114', '2', '1097', '628') 
 INTO PSE1.WarenkorbPosition VALUES ('6115', '0', '1387', '83') 
 INTO PSE1.WarenkorbPosition VALUES ('6116', '1', '1006', '539') 
 INTO PSE1.WarenkorbPosition VALUES ('6117', '2', '1896', '60') 
 INTO PSE1.WarenkorbPosition VALUES ('6118', '0', '523', '37') 
 INTO PSE1.WarenkorbPosition VALUES ('6119', '0', '242', '523') 
 INTO PSE1.WarenkorbPosition VALUES ('6120', '2', '1774', '479') 
 INTO PSE1.WarenkorbPosition VALUES ('6121', '0', '1848', '335') 
 INTO PSE1.WarenkorbPosition VALUES ('6122', '0', '87', '502') 
 INTO PSE1.WarenkorbPosition VALUES ('6123', '2', '891', '91') 
 INTO PSE1.WarenkorbPosition VALUES ('6124', '1', '1882', '371') 
 INTO PSE1.WarenkorbPosition VALUES ('6125', '1', '1139', '603') 
 INTO PSE1.WarenkorbPosition VALUES ('6126', '2', '1108', '621') 
 INTO PSE1.WarenkorbPosition VALUES ('6127', '1', '240', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('6128', '0', '695', '497') 
 INTO PSE1.WarenkorbPosition VALUES ('6129', '2', '809', '468') 
 INTO PSE1.WarenkorbPosition VALUES ('6130', '1', '718', '172') 
 INTO PSE1.WarenkorbPosition VALUES ('6131', '2', '1309', '189') 
 INTO PSE1.WarenkorbPosition VALUES ('6132', '0', '1933', '37') 
 INTO PSE1.WarenkorbPosition VALUES ('6133', '2', '1204', '135') 
 INTO PSE1.WarenkorbPosition VALUES ('6134', '0', '412', '629') 
 INTO PSE1.WarenkorbPosition VALUES ('6135', '0', '1307', '167') 
 INTO PSE1.WarenkorbPosition VALUES ('6136', '0', '1906', '340') 
 INTO PSE1.WarenkorbPosition VALUES ('6137', '0', '1577', '527') 
 INTO PSE1.WarenkorbPosition VALUES ('6138', '0', '77', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('6139', '2', '302', '264') 
 INTO PSE1.WarenkorbPosition VALUES ('6140', '1', '181', '364') 
 INTO PSE1.WarenkorbPosition VALUES ('6141', '0', '222', '632') 
 INTO PSE1.WarenkorbPosition VALUES ('6142', '1', '1784', '559') 
 INTO PSE1.WarenkorbPosition VALUES ('6143', '0', '739', '101') 
 INTO PSE1.WarenkorbPosition VALUES ('6144', '2', '1663', '18') 
 INTO PSE1.WarenkorbPosition VALUES ('6145', '1', '1228', '559') 
 INTO PSE1.WarenkorbPosition VALUES ('6146', '1', '700', '340') 
 INTO PSE1.WarenkorbPosition VALUES ('6147', '2', '992', '37') 
 INTO PSE1.WarenkorbPosition VALUES ('6148', '2', '880', '269') 
 INTO PSE1.WarenkorbPosition VALUES ('6149', '1', '955', '454') 
 INTO PSE1.WarenkorbPosition VALUES ('6150', '0', '816', '348') 
 INTO PSE1.WarenkorbPosition VALUES ('6151', '2', '1125', '535') 
 INTO PSE1.WarenkorbPosition VALUES ('6152', '0', '1923', '218') 
 INTO PSE1.WarenkorbPosition VALUES ('6153', '2', '1856', '193') 
 INTO PSE1.WarenkorbPosition VALUES ('6154', '2', '389', '138') 
 INTO PSE1.WarenkorbPosition VALUES ('6155', '2', '1791', '173') 
 INTO PSE1.WarenkorbPosition VALUES ('6156', '1', '1764', '65') 
 INTO PSE1.WarenkorbPosition VALUES ('6157', '1', '1987', '612') 
 INTO PSE1.WarenkorbPosition VALUES ('6158', '0', '1668', '471') 
 INTO PSE1.WarenkorbPosition VALUES ('6159', '0', '1523', '561') 
 INTO PSE1.WarenkorbPosition VALUES ('6160', '0', '1015', '531') 
 INTO PSE1.WarenkorbPosition VALUES ('6161', '1', '1967', '243') 
 INTO PSE1.WarenkorbPosition VALUES ('6162', '2', '485', '607') 
 INTO PSE1.WarenkorbPosition VALUES ('6163', '1', '12', '228') 
 INTO PSE1.WarenkorbPosition VALUES ('6164', '2', '304', '338') 
 INTO PSE1.WarenkorbPosition VALUES ('6165', '0', '389', '247') 
 INTO PSE1.WarenkorbPosition VALUES ('6166', '0', '1423', '589') 
 INTO PSE1.WarenkorbPosition VALUES ('6167', '2', '785', '18') 
 INTO PSE1.WarenkorbPosition VALUES ('6168', '2', '1742', '62') 
 INTO PSE1.WarenkorbPosition VALUES ('6169', '2', '1718', '169') 
 INTO PSE1.WarenkorbPosition VALUES ('6170', '2', '272', '296') 
 INTO PSE1.WarenkorbPosition VALUES ('6171', '2', '484', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('6172', '0', '1915', '140') 
 INTO PSE1.WarenkorbPosition VALUES ('6173', '2', '1432', '540') 
 INTO PSE1.WarenkorbPosition VALUES ('6174', '1', '1692', '349') 
 INTO PSE1.WarenkorbPosition VALUES ('6175', '1', '1561', '478') 
 INTO PSE1.WarenkorbPosition VALUES ('6176', '1', '291', '361') 
 INTO PSE1.WarenkorbPosition VALUES ('6177', '2', '93', '485') 
 INTO PSE1.WarenkorbPosition VALUES ('6178', '2', '1213', '408') 
 INTO PSE1.WarenkorbPosition VALUES ('6179', '0', '832', '507') 
 INTO PSE1.WarenkorbPosition VALUES ('6180', '0', '26', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('6181', '1', '947', '211') 
 INTO PSE1.WarenkorbPosition VALUES ('6182', '1', '895', '114') 
 INTO PSE1.WarenkorbPosition VALUES ('6183', '1', '1581', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('6184', '0', '164', '41') 
 INTO PSE1.WarenkorbPosition VALUES ('6185', '2', '109', '321') 
 INTO PSE1.WarenkorbPosition VALUES ('6186', '0', '325', '228') 
 INTO PSE1.WarenkorbPosition VALUES ('6187', '0', '863', '535') 
 INTO PSE1.WarenkorbPosition VALUES ('6188', '0', '630', '534') 
 INTO PSE1.WarenkorbPosition VALUES ('6189', '0', '91', '304') 
 INTO PSE1.WarenkorbPosition VALUES ('6190', '0', '525', '169') 
 INTO PSE1.WarenkorbPosition VALUES ('6191', '0', '15', '76') 
 INTO PSE1.WarenkorbPosition VALUES ('6192', '1', '119', '381') 
 INTO PSE1.WarenkorbPosition VALUES ('6193', '0', '964', '514') 
 INTO PSE1.WarenkorbPosition VALUES ('6194', '2', '324', '208') 
 INTO PSE1.WarenkorbPosition VALUES ('6195', '1', '359', '537') 
 INTO PSE1.WarenkorbPosition VALUES ('6196', '0', '172', '595') 
 INTO PSE1.WarenkorbPosition VALUES ('6197', '0', '53', '465') 
 INTO PSE1.WarenkorbPosition VALUES ('6198', '2', '1771', '129') 
 INTO PSE1.WarenkorbPosition VALUES ('6199', '1', '1768', '185') 
 INTO PSE1.WarenkorbPosition VALUES ('6200', '2', '235', '295') 
 INTO PSE1.WarenkorbPosition VALUES ('6201', '0', '1986', '302') 
 INTO PSE1.WarenkorbPosition VALUES ('6202', '1', '931', '391') 
 INTO PSE1.WarenkorbPosition VALUES ('6203', '0', '795', '385') 
 INTO PSE1.WarenkorbPosition VALUES ('6204', '2', '1808', '156') 
 INTO PSE1.WarenkorbPosition VALUES ('6205', '0', '1096', '110') 
 INTO PSE1.WarenkorbPosition VALUES ('6206', '1', '1923', '385') 
 INTO PSE1.WarenkorbPosition VALUES ('6207', '0', '1658', '188') 
 INTO PSE1.WarenkorbPosition VALUES ('6208', '2', '1781', '279') 
 INTO PSE1.WarenkorbPosition VALUES ('6209', '2', '271', '245') 
 INTO PSE1.WarenkorbPosition VALUES ('6210', '2', '231', '70') 
 INTO PSE1.WarenkorbPosition VALUES ('6211', '0', '321', '15') 
 INTO PSE1.WarenkorbPosition VALUES ('6212', '1', '196', '430') 
 INTO PSE1.WarenkorbPosition VALUES ('6213', '2', '1525', '628') 
 INTO PSE1.WarenkorbPosition VALUES ('6214', '1', '1671', '156') 
 INTO PSE1.WarenkorbPosition VALUES ('6215', '0', '1083', '154') 
 INTO PSE1.WarenkorbPosition VALUES ('6216', '0', '1946', '440') 
 INTO PSE1.WarenkorbPosition VALUES ('6217', '2', '332', '633') 
 INTO PSE1.WarenkorbPosition VALUES ('6218', '2', '544', '94') 
 INTO PSE1.WarenkorbPosition VALUES ('6219', '1', '382', '560') 
 INTO PSE1.WarenkorbPosition VALUES ('6220', '2', '1364', '145') 
 INTO PSE1.WarenkorbPosition VALUES ('6221', '1', '756', '223') 
 INTO PSE1.WarenkorbPosition VALUES ('6222', '0', '1994', '595') 
 INTO PSE1.WarenkorbPosition VALUES ('6223', '1', '1594', '185') 
 INTO PSE1.WarenkorbPosition VALUES ('6224', '1', '1806', '502') 
 INTO PSE1.WarenkorbPosition VALUES ('6225', '0', '1054', '250') 
 INTO PSE1.WarenkorbPosition VALUES ('6226', '1', '1057', '374') 
 INTO PSE1.WarenkorbPosition VALUES ('6227', '1', '1184', '441') 
 INTO PSE1.WarenkorbPosition VALUES ('6228', '0', '801', '552') 
 INTO PSE1.WarenkorbPosition VALUES ('6229', '1', '508', '605') 
 INTO PSE1.WarenkorbPosition VALUES ('6230', '0', '1824', '315') 
 INTO PSE1.WarenkorbPosition VALUES ('6231', '1', '529', '45') 
 INTO PSE1.WarenkorbPosition VALUES ('6232', '0', '1440', '90') 
 INTO PSE1.WarenkorbPosition VALUES ('6233', '1', '1960', '546') 
 INTO PSE1.WarenkorbPosition VALUES ('6234', '2', '1563', '261') 
 INTO PSE1.WarenkorbPosition VALUES ('6235', '1', '780', '460') 
 INTO PSE1.WarenkorbPosition VALUES ('6236', '0', '1489', '6') 
 INTO PSE1.WarenkorbPosition VALUES ('6237', '0', '932', '54') 
 INTO PSE1.WarenkorbPosition VALUES ('6238', '0', '352', '93') 
 INTO PSE1.WarenkorbPosition VALUES ('6239', '2', '1759', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('6240', '0', '1104', '519') 
 INTO PSE1.WarenkorbPosition VALUES ('6241', '2', '600', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('6242', '1', '533', '492') 
 INTO PSE1.WarenkorbPosition VALUES ('6243', '1', '980', '609') 
 INTO PSE1.WarenkorbPosition VALUES ('6244', '0', '1799', '372') 
 INTO PSE1.WarenkorbPosition VALUES ('6245', '1', '859', '182') 
 INTO PSE1.WarenkorbPosition VALUES ('6246', '1', '1604', '456') 
 INTO PSE1.WarenkorbPosition VALUES ('6247', '0', '1155', '408') 
 INTO PSE1.WarenkorbPosition VALUES ('6248', '2', '1245', '424') 
 INTO PSE1.WarenkorbPosition VALUES ('6249', '1', '1243', '37') 
 INTO PSE1.WarenkorbPosition VALUES ('6250', '0', '226', '564') 
 INTO PSE1.WarenkorbPosition VALUES ('6251', '2', '76', '475') 
 INTO PSE1.WarenkorbPosition VALUES ('6252', '1', '8', '479') 
 INTO PSE1.WarenkorbPosition VALUES ('6253', '1', '510', '81') 
 INTO PSE1.WarenkorbPosition VALUES ('6254', '0', '1937', '330') 
 INTO PSE1.WarenkorbPosition VALUES ('6255', '1', '1274', '234') 
 INTO PSE1.WarenkorbPosition VALUES ('6256', '0', '1053', '157') 
 INTO PSE1.WarenkorbPosition VALUES ('6257', '1', '1707', '131') 
 INTO PSE1.WarenkorbPosition VALUES ('6258', '2', '125', '43') 
 INTO PSE1.WarenkorbPosition VALUES ('6259', '0', '1100', '552') 
 INTO PSE1.WarenkorbPosition VALUES ('6260', '1', '1986', '96') 
 INTO PSE1.WarenkorbPosition VALUES ('6261', '1', '266', '440') 
 INTO PSE1.WarenkorbPosition VALUES ('6262', '1', '1968', '280') 
 INTO PSE1.WarenkorbPosition VALUES ('6263', '1', '76', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('6264', '0', '959', '63') 
 INTO PSE1.WarenkorbPosition VALUES ('6265', '2', '1908', '26') 
 INTO PSE1.WarenkorbPosition VALUES ('6266', '2', '1925', '406') 
 INTO PSE1.WarenkorbPosition VALUES ('6267', '0', '1271', '418') 
 INTO PSE1.WarenkorbPosition VALUES ('6268', '2', '1209', '585') 
 INTO PSE1.WarenkorbPosition VALUES ('6269', '1', '778', '2') 
 INTO PSE1.WarenkorbPosition VALUES ('6270', '0', '1321', '246') 
 INTO PSE1.WarenkorbPosition VALUES ('6271', '0', '268', '149') 
 INTO PSE1.WarenkorbPosition VALUES ('6272', '1', '55', '591') 
 INTO PSE1.WarenkorbPosition VALUES ('6273', '2', '32', '492') 
 INTO PSE1.WarenkorbPosition VALUES ('6274', '2', '1481', '237') 
 INTO PSE1.WarenkorbPosition VALUES ('6275', '2', '53', '159') 
 INTO PSE1.WarenkorbPosition VALUES ('6276', '1', '46', '412') 
 INTO PSE1.WarenkorbPosition VALUES ('6277', '2', '515', '323') 
 INTO PSE1.WarenkorbPosition VALUES ('6278', '2', '1972', '416') 
 INTO PSE1.WarenkorbPosition VALUES ('6279', '2', '948', '245') 
 INTO PSE1.WarenkorbPosition VALUES ('6280', '0', '440', '451') 
 INTO PSE1.WarenkorbPosition VALUES ('6281', '2', '1708', '513') 
 INTO PSE1.WarenkorbPosition VALUES ('6282', '2', '1996', '270') 
